,Acidaminococcus fermentans,Anaerostipes caccae,Anaerotruncus colihominis,Bacteroides caccae,Bacteroides coprocola,Bacteroides coprophilus,Bacteroides dorei,Bacteroides eggerthii,Bacteroides finegoldii (Alistipes finegoldii),Bacteroides fragilis,Bacteroides ovatus,Bacteroides plebeius,Bacteroides stercoris,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides xylanisolvens,Bifidobacterium adolescentis,Bifidobacterium bifidum,Bifidobacterium breve,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",Bifidobacterium pseudocatenulatum,Bilophila wadsworthia,Blautia hansenii (Ruminococcus hansenii),Clostridium difficile,Clostridium leptum,Clostridium scindens,Clostridium symbiosum,Coprococcus eutactus,Desulfovibrio piger,Dorea formicigenerans,Eubacterium eligens,Eubacterium hallii,Eubacterium limosum,Eubacterium rectale,Eubacterium siraeum,Eubacterium ventriosum,Faecalibacterium prausnitzii,Haemophilus influenzae,Haemophilus parainfluenzae,Lactococcus lactis,Parabacteroides distasonis,Roseburia intestinalis,Roseburia inulinivorans,Ruminococcus bromii,Ruminococcus flavefaciens,Shigella sonnei,Streptococcus salivarius
0,,,,1.7372306833197642,1.7372306828813429,,1.7372306833197642,,,,1.7372306829993014,1.7372306833197642,1.7372306839582201,1.3211296363467535,1.737230682723734,1.7372306827237343,1.2552618503594293,,,1.2552618497582813,1.3645872486068038,,1.785093743196773,,1.115586975634749,,,,,1.3645872486068038,1.1970098291492484,,,1.3911319541861404,,1.1970098291492484,1.1970098291492484,,,,1.6576546283185918,,1.1374032599785953,1.2559316796736777,,1.1085421684050627,1.678950187947048
1,,,,2.4256543290777337,2.4256543290777337,,2.4256543348091038,,,2.6950274852663583,,,2.4256543290777337,2.5644586740478204,2.4256543290777337,,,,,,,1.365228394736245,3.0747475308633314,,,2.961373166887185,,,,2.5177587149919596,1.4624298989390208,2.5792299336128357,,1.802520455439486,,,1.4624298989390208,,2.716648979822391,,2.2838215519577427,2.5792299336128357,1.4624298989390208,,,,2.407429787681306
2,,,,2.186671523455169,,,2.186671523464095,,,2.1365569585725908,,2.186671523474181,2.186671523469591,1.9281989041427954,2.186671523470966,2.186671523469591,2.286749869021283,2.284353609539119,,2.286749868695937,1.6391816109467938,1.5126875340542039,2.3159685187376464,,,,,,,1.6391816109467938,1.6084465397937349,2.153424962738289,,1.844208454107965,1.6084465397937349,1.6084465397937349,1.614136008046653,,2.1918253657550815,1.2130249065611431,2.1615010256942466,2.1325988290832214,1.4676700888560124,,,1.1815171867115393,1.766222731251917
3,,,,2.0567700942633067,,,,2.0332765083648106,,1.6714278316347317,,2.0567700931554964,,1.2924540012563845,2.0567700944143774,2.056770095195059,1.9960188400123584,,,1.9960188419284206,,1.7694659997614333,2.0381435171588995,,,,1.728296357515714,,,1.7282963575157142,,2.0585762430306183,,,,1.6972893955534578,1.701758515516723,,,1.1985617985050974,2.1068227525484695,,1.6972893955534578,,,1.050630870603063,1.0652177722880922
4,,,,,,,2.0640044766279986,2.0395810910161054,,2.084464768654861,2.0640044770289294,,2.0640044736578247,1.8567686099498306,2.0640044748304858,2.064004477434544,1.7296229942174957,1.7296229930409293,,1.7296229942174957,,1.6298427439656484,1.7396412558539236,2.2973216738115374,,1.7590218316597634,1.4743042955328023,,,1.4743042955328023,1.812318481031618,2.0789593834284728,,1.8669473614370313,,1.8123184810316184,1.812318481031618,,2.1057732151792594,,2.3211220574245597,2.0789593827402784,1.812318481031618,1.8779255093804024,,1.1565328894712426,2.1990974588372576
5,,,,1.8324134472951439,,,1.8324134453499,1.792765208163975,1.8324134477676204,2.0838741260877227,1.8324134476509029,1.8324134490859567,1.8324134465563373,1.5506245944733985,1.8324134450385654,1.8324134480968186,,,,2.034603185510296,1.9234901672194555,,1.7248111899328873,,,,1.9234901672194555,,,1.9234901672194555,,2.1655062692401437,,1.607389242546439,,,1.4012050862993264,,2.181014343201722,1.1968712686831484,1.4376949657308964,,1.2416722420221218,1.28991534656556,,1.0725691472736794,1.526394817637718
6,,2.113554489350613,,,,,1.869682833070593,,,2.224266997507297,1.8696828418083806,1.869682849107113,1.8696828408341877,1.8168965459710693,1.869682848010175,,2.7026318837404424,2.7026318839491417,2.153944643151838,2.702631885201116,2.153944643151838,1.7858459935923696,1.5639791661192257,,,,,,,2.1539446431518376,1.7731694494352137,,,1.7769692118240459,,1.7731694494352137,1.7731694494352135,,,,1.4247042955413949,,1.7709618930974171,,,1.1142769324773905,
7,,,,2.3596823999736656,,,2.3596823991742353,2.130617148988157,,,2.359682400227711,,2.359682399458074,1.485484268359752,2.3596824004309465,2.3596823999736656,,,,1.5390054609859563,,1.589157475599952,1.9907760361813667,,1.0113616721599938,,,,,1.647036469356466,1.624629648104503,,1.9367324961804666,1.7429292606476916,,1.624629648104503,1.624629648104503,,,,2.036295990713806,,1.624629648104503,,,1.0105144830194333,1.8624173911433761
8,,,,1.667603365877863,,1.6676033658778633,1.6676033651053876,1.6006764543578018,,1.5358919995783529,,1.667603362393907,1.667603365877863,1.3346304093445691,1.6676033630454525,1.667603365877863,2.2886285386572505,,,2.2886285379780444,1.8281476957042266,,1.922887150764097,,,,,,,1.828147695704227,1.4038089250796397,1.789691287818193,,1.635138717773354,,1.4038089250796397,1.4038089250796397,1.8418635566776818,1.8452075065736808,,1.292107814899728,1.7876654053755494,,1.060506274002222,,1.0268141188577098,1.310859904832164
9,,,,2.329899216086245,,2.3298992160350838,2.329899217347569,,2.329899216086245,2.2121288476030063,,,2.329899214529368,2.3864827062032288,2.329899218354742,2.329899213317303,2.5868828813933606,,,2.5868828797169092,1.8889399402808926,,2.4765815832723717,,2.450788045150335,,,1.1557942910591223,,1.8889399402808922,1.1557942910591223,2.1328121044427,,1.4559549357930908,,,1.1557942910591223,,,,2.1248807388642494,,1.15481468080395,,,1.386928535825375,2.0320221093416673
10,,1.924291075941741,,1.7962644578129368,,,,,,2.082053854159626,,1.7962644635063736,,2.011210053142421,1.7962644612166947,1.7962644729723505,,,,2.2099949623279636,,1.6401257951257622,1.556494297035494,,2.111750092133232,,,,,1.4946463542103225,,,,,,,1.8078615283217498,,2.0941843317358906,1.3464397158191406,2.000886053098421,,,,,1.219417640930661,1.2215572664105825
11,,,1.3630667128369083,1.770111006996076,,,1.7701110116740306,,1.770111011878696,2.0433088896115392,1.7701110078893918,1.770111006996076,,1.8434040564028098,1.7701110082549174,1.7701110116740306,,,1.3630667128369085,1.6487642702346408,,1.6233561908145082,1.6179773376348068,1.3630667128369087,,1.7815806874783018,1.3630667128369083,,,,1.801338811377005,,,,,,1.801338811377005,,,,1.894447774843074,,,,,1.3445553548944909,1.3732491948427126
12,,,,2.266880181965679,,,2.2668801828368714,,,2.306326408489419,2.2668801786597443,2.2668801813433994,,2.1917727839857046,2.2668801786597443,,2.6752452444827783,2.675245244603385,,2.675245244456699,,,2.66471179022873,,,,,,,2.463053562999807,,2.031061772240827,,1.5690586788210423,,,1.1419855190779056,,2.3757978066579772,,1.9615658988259215,,1.1419855190779058,,,,1.5266547979117064
13,,,,2.4677416207071143,,,2.467741619158381,,2.4677416207071143,2.2467416398740117,2.467741619738417,2.4677416207071143,,2.1251291487123862,2.467741621080837,2.467741619898625,2.6105727999937383,,1.7143424671465068,2.6105727989031435,,1.7655968584040727,2.431293879485994,,1.9411832004014542,,1.7143424671465068,,1.8349133067709653,1.7143424671465062,1.9180567741589134,2.2134915039499177,,2.034714525900816,,1.9180567741589134,1.9180567741589132,,2.3102523929110816,,2.315857638948835,,,,,1.1125713651537628,1.2319130575290385
14,,,,,,,2.1750333146261855,,,1.9187132965160103,,2.1750333152591637,,,2.175033315517044,,,,,2.409959287571363,,,2.272249673240175,,,,,,,,,1.7133116738084457,,1.7591758864960214,,,1.1843629603177017,,1.8194203371886188,,2.103847283595181,1.6314511224432933,,,,1.2273285905144602,1.977911162150312
15,,,,2.2664050974654497,,,2.2664051003752768,,,2.451176711772408,2.266405102076386,2.2664051000107714,2.266405097717058,2.288929212468718,2.2664050974654497,2.2664051004667702,2.366678605032312,2.364273736728161,,,1.64296333878534,,2.4549537726474395,,,,,,,1.64296333878534,1.150338207372996,2.294440326027738,,1.349963259518438,,,1.1514783846139818,,2.4588959578849456,1.208413082461559,2.0856893526254785,2.289833111347309,1.1464883910450727,,,1.2696358952066118,2.075439840171426
16,,2.536349517756303,,2.6016064954639724,,,2.6016064963667387,2.6014404291918187,,2.609208411566677,2.601606495424489,2.6016064955513736,2.6016064950881956,,2.601606495424489,2.601606495424489,,,,3.15441863151208,,1.9029501622224916,2.739644618828705,,3.184975655309488,,,,1.8217826876465686,,1.8709791956977295,,2.540202111723497,2.0919264063088536,,,1.871012392811674,,2.6365748585774127,2.217090149117102,2.5792014107454033,2.5359515685613365,1.867304593456204,,,,2.2911198006264497
17,,,,2.3196940040981495,,,2.3196940037369917,,,,2.3196940040981495,,2.3196940040981495,1.9079263805897555,2.3196940040981495,,,,,1.5790118387213552,,,2.429637678735846,,,,,1.1547427960505525,,1.5915721949695716,1.1547427960505525,2.3292640637839876,,1.5249471488260682,,1.1547427960505525,1.1547427960505527,,2.5457862800910105,,2.266814456045092,2.329264056761705,1.1547427960505525,,,1.0515433205706812,2.1713046494031283
18,2.5219693920125015,,,2.561990920398694,,,2.5619909202385447,2.55842747927076,,2.6266171060345256,2.5619909201819113,2.5619909201819113,,2.615519271068662,2.561990923181236,2.5619909238398346,,,,3.011701404961906,2.6354359401763188,1.6503155125839302,2.847425560607684,,2.9862586421112556,,,,1.7444360982861036,2.6354359401763183,1.780922480453214,2.55832192917822,,2.2216102548105234,,,1.7810717079479195,,2.6615997003599836,1.5573872325024736,2.5186547254488048,2.551897191260497,1.7465049630232488,,,1.8086834855804153,2.4955437651080117
19,,,,1.5654197766649363,,,1.5654197753604695,1.5598913383752984,,1.9180134704983658,1.5654197761431494,1.5654197755906691,,1.7142266920834852,1.5654197772685994,1.5654197759783748,,,,1.7620349562250275,1.3520280412555872,,1.8138188961735968,,,,,,,,1.4456873607855318,1.9674440598757945,,1.601441776272061,,1.4456873607855316,1.4456873607855316,,1.965933992242939,,1.372041022214195,1.9638511710287039,1.4180698009044779,,,1.3034072884703696,1.52112622200266
20,2.5164820103820773,,2.4697035819058755,2.490774638278285,,,2.49077464180146,,2.49077464180146,2.230909240900047,,2.49077464180146,2.49077464180146,2.4074536913750895,2.4907746399011894,2.490774640781101,,,,2.8462426703352177,,1.513240762615174,2.3072973224649944,,2.2773229559509414,,2.469703581905875,,,2.4697035819058755,,1.837450946163321,,2.1486512338409143,,1.5257343555384981,1.525734355538498,,,,2.3127302622016956,1.8374509422850198,1.5257343555384977,,,1.1540897501550045,1.2703943109717932
21,2.428090005900567,,,2.58104228713672,,,2.581042287479392,,2.581042287773112,2.5426071927151277,2.5810422898682472,2.581042287698969,,2.505950087273272,2.5810422908459767,2.58104228713672,2.9633822598115787,2.9633822595899586,,2.963382259585398,,1.6867792154404093,2.7266601457671804,,,,2.4203361902475438,,1.7474838756512412,2.4203361902475433,,2.348208059089439,,2.0267526181579445,,,1.8151783254879517,,2.575214091487408,,2.4876559430286367,2.348208052968438,1.8151783254879517,,,1.234645618738385,1.3805358587185368
22,,,,2.4956662549197057,,,2.4956662549197057,2.494371158619544,2.4956662566527563,2.5606027377978133,2.4956662549197057,,,2.590570214781797,2.495666258848094,,,,,2.918179203369613,2.6954811294264323,1.5035687405065592,2.8256642787243345,,,,,,,2.695481129426432,1.4993501079515925,2.393223883665665,2.64952293494554,1.9376853027368428,1.499350107951593,1.4993501079515925,1.499577551764924,,,1.2608878333859006,2.375823376346072,2.3885997176288956,1.4888839200248754,2.31249983035976,,,2.4187930728148324
23,,,,2.340408464118338,,,2.340408464696791,,2.340408467044301,2.457587168110605,2.340408467044301,2.340408464298287,2.340408467044301,2.4908969558224427,2.3404084652273967,2.340408467044301,,,2.5362273327496587,2.8986955899816893,2.5362273327496587,1.3490039739042192,2.551464885364228,,2.921974051312108,,,,,2.536227332749659,,2.3145088752876974,,1.839264207945083,,,1.4682897382581155,,2.472557605135705,,2.2929155050855266,,1.4268527602546288,,,1.4653134932123575,2.1787385287355647
24,,,,1.5743914637682395,,,1.5743914597834172,,1.5743914637682395,1.859279762587504,1.5743914540908137,1.5743914637682395,1.5743914566132318,1.6993543230146189,1.5743914614323091,,,,,2.1236110254257508,1.5840726638946498,,1.988644482309271,,2.06714111496645,,1.5840726638946503,1.4233220959921196,,1.5840726638946498,1.4233220959921196,1.9379879778150306,,1.69650792272004,1.4233220959921196,,1.4233220959921193,,,,1.3475746895729874,1.9296106760856493,1.367827067142707,1.349801672054706,,1.3207678595615058,1.6872446342350342
25,,,,1.9829478030967886,,1.982947802965421,1.9829478035455401,1.7885652408448895,,1.8070447923531168,1.9829478031830872,1.9829478029565537,1.9829478035964683,1.2928144706296187,1.9829478026926077,1.9829478027183662,,1.7878682163445072,1.7683951932727318,1.7878682160780919,,1.7704745541469187,2.0460399439924477,,,,,,,1.7683951932727318,1.8687665116839485,2.0625482836226405,1.646065303523754,1.9059992596638726,,1.8687665116839485,1.8687665116839485,,,,1.6404231470969022,2.0612992942525064,1.8541215520392984,,,,1.098453870771611
26,,,,,,,2.318609323558532,2.3133215810836076,,2.40761935004054,,2.3186093248990174,,2.002180563355863,,,2.9604416191459952,,,2.9604416188004112,2.631601658712719,,2.6537046617406244,,,,,,,2.6316016587127193,,2.3183298291096626,,1.6060853853124846,,,1.1563511898974645,,2.580228450750055,,,,1.1450227338261647,1.9547618869206858,,1.0678057334133648,2.2735309163807234
27,,,,1.837154938944209,,,1.8371549327599417,1.8314461773394353,1.8371549375651715,2.2156027134178533,,1.8371549452588278,1.837154938944209,2.2367630133666636,1.8371549295841498,1.8371549292025016,,2.5132956036944503,1.569066285235921,2.5132956036944503,1.569066285235921,1.5604981479895208,1.5688317185770382,,,,1.569066285235921,,,,,,1.7734950787041293,1.7210112136516518,,,1.7085448313103617,,2.435578998911695,,2.185963443227272,,1.2196633018851868,,,1.5551791290337191,1.8545099598697905
28,1.7942786412023626,,,1.869374903852143,,,1.8693749047647403,,,,,1.8693749031968896,1.8693749078824948,1.7328792714224588,1.8693749031968896,,1.2977493641943965,,,1.2977493641943965,1.2977493641943962,1.7775547740987307,1.9139665932602221,,,,,,,1.2977493641943962,1.7819703059007217,2.177662997006419,,1.7871618288859332,,1.7819703059007215,1.7819703059007215,,,,1.9721866424711878,2.1730036056846815,1.6703762480837112,1.3911755166505813,,,1.7844002246806632
29,,,,2.4982733099183405,,,2.4982733122623504,,2.4982733135609543,,,2.4982733135609543,2.4982733135609543,1.729692520999484,2.4982733099183405,,1.8743527734211431,,,1.874352773379714,1.9675687991812063,1.5714059236019438,2.567493685286474,,,,,,,1.967568799181207,1.5523820369975687,1.86834652197134,,2.2330241714885397,,1.5523820369975687,1.5528985841336964,,1.9119347023345523,1.1934888989985495,2.3648131172263733,1.8658074993197107,1.5398145743355558,2.2581799937690756,,1.051225221946811,2.1699159788305677
30,,,,1.5675870778345018,,,1.567587078524515,1.5622851477604254,,2.056034084605008,1.5675870778020848,1.5675870777588625,,2.002712499131396,1.567587078203435,1.5675870778345018,1.8803135634139025,,,1.88031356448644,,,1.7581756250127791,,,,,,,1.3561299877155442,1.4311077318277594,2.050789712787341,,1.4602732915641832,,,1.4311077318277592,,2.0577921864677955,,1.3913545386948927,,1.431107731827759,1.3121507127444167,1.429858061815814,1.3180318610355568,
31,,,,2.1855390440973963,2.185539045677646,,2.185539044710865,2.1847225575840126,2.185539038203448,2.225407965419825,2.1855390383942086,2.185539045075646,,2.236223398076113,2.185539042392825,2.1855390440973963,,,,2.2989018468914075,1.5754615584993572,1.6836098583937313,1.7626048678082973,,2.2879620510945244,,1.5754615584993572,2.108543572517413,1.815101300843269,1.5754615584993572,2.108543572517413,2.1821825129999204,,2.052563308739401,2.108543572517413,2.108543572517413,2.108543572517413,,,,2.3541862451777895,,2.020978776103693,,,2.127356387682467,2.04620212801974
32,,,,2.4135978077065015,2.4135978117853902,2.4135978094545965,2.4135978047523974,2.40488108055831,,,,2.4135978051636036,2.413597809815614,2.1021889354238588,2.4135978094545965,2.4135978077065015,,2.167541566371522,,2.167541566371522,2.167541566371522,1.4050153029619323,2.80638743279852,,1.0209947085484976,,,,,2.167541566371522,1.474214205516411,2.5948134286535627,,1.7978726494741708,1.474214205516411,,1.474214205516411,,2.742114236127557,,2.30934123153029,,1.4647357749240553,2.2748739519093992,,,2.2768322656580073
33,,,,2.3049365180493835,,,2.304936518810696,,,2.3822378021194544,2.3049365171797804,2.3049365196376392,2.3049365171797804,,2.3049365180493835,2.304936518711157,3.011496199079984,,,3.011496199079984,,,2.5385661989261044,,,,,1.1611864734100834,,,1.1611864734100834,2.2830002389627473,,1.6367323536877985,,1.1611864734100836,1.1611864734100836,,,,2.2339264123208995,2.2827955827252175,1.160793825189455,1.8261862044921755,,1.2975393048666175,2.199247248548318
34,,,,,,,2.684453896331485,,,,,,,,,,,,,,,,3.178188127428507,,1.0,,,,1.9137023978399363,,1.8498564093901013,2.557313154280816,,2.4168192181323263,1.8498564093901013,,1.8498564093901013,,,,2.636608577120334,,1.8498564093901013,,2.6444337763281616,1.0,
35,,,,1.6671607841436884,,,1.6671607841595788,,,1.9374170136447173,1.6671607841367213,1.6671607841175613,,1.877614925338133,1.6671607841412293,1.6671607882156705,,,,,1.3391109313131957,,1.7920215829826998,,,,,,,1.3391109313131957,,1.8797404791410608,,1.552714338197101,,,1.360359128790578,,1.7621070598384252,,1.3565068693186968,1.8552412018188473,1.2951508392454731,1.3025412630135222,,,1.5375562292837255
36,,,,2.4235253000478965,,,2.42352529898088,2.4247607050291475,2.4235252989357803,2.6619609628985814,,,,2.6814071203105043,2.4235253010848865,,,,,3.1836354939900664,,1.467102507567062,2.742232691226758,,,,,1.4790366733842444,,2.690264351192419,1.479036673384244,2.50812856429753,,1.8453424530513933,1.479036673384244,,1.4790366733842444,,,,2.3622687954906287,2.508128566634616,1.479036673384244,2.3678085041232797,,3.2897327284103106,
37,,,,2.275462637565723,,,2.2754626333698678,2.2658449774246145,,2.311853233877165,2.2754626341669275,2.2754626341669275,2.275462631548459,2.4441542511802377,2.275462634499971,2.2754626341669275,,,,2.6466526520881106,1.8111870974944164,1.9139768165330824,2.1084315602746933,,,,1.8111870974944164,2.2127159244011234,1.9709364387514974,1.8111870974944166,2.212715924401123,2.283871670067373,,2.0873014709496047,,,2.212715924401123,,,,2.3591127588885437,2.2835647751908765,2.19977776213151,,,,1.781945174013573
38,,,,1.9330179560994232,,,1.9330179599143125,1.9243271806681492,,2.0887642442076055,1.9330179578727837,1.9330179532567813,1.933017951677536,2.1167123416680167,1.9330179582736389,1.9330179560994232,2.438272774936507,2.438272776564177,,2.438272773933149,1.5639359480050272,1.6501219074044937,1.8089795136166047,,2.2227518240705404,,1.5639359480050272,,,1.5639359480050272,1.802524295283483,2.053515565332514,,1.7971556972819418,1.8025242952834835,1.8025242952834835,1.8025242952834832,,,,2.0768744564909998,2.052690765910554,1.7962028745813656,1.6122771729698808,,1.3149858754465547,1.7329174032173258
39,,,,1.9421279351684986,1.9421279351684986,,1.9421279352949863,1.93308870074336,1.9421279351684986,,,1.9421279351150667,,1.3796431918072172,1.9421279350532195,1.9421279353355463,1.5791423749537576,,,1.5791423749537574,1.5791423749537572,1.6450398693984698,2.1931082811397387,,,,,,,1.5791423749537579,1.7633264779701463,1.8199979658475156,,1.8448072587571014,,1.7633264779701463,1.763326477970146,,1.821224474221883,,1.945307884647868,1.8116057132154135,1.5400457804742942,1.8824425351898004,,,1.520742030498914
40,,,,,,,2.223462509910315,,,1.4275400547378918,,,2.2234625103690133,1.2014498933562878,2.223462511190804,2.223462509910315,2.1362836277546258,,,2.1362836273506947,,1.7391976214743448,2.2676491176336175,,,1.131376826064112,,,,1.9292460587569509,1.976048906706383,2.126063573046915,,2.0585217619928935,,,1.9864624037356229,,2.1412109093573264,1.1802563850504662,2.159402573302598,2.1260635725533,1.9760489067063824,1.1830177711689163,,1.0352479656189597,1.7489558525030484
